MSCI World,True ,True,-0.77,7.73,22.45,-8.65,27.76,Basic
S & P 500,True ,True,0.68,11.17,21.32,-4.71,31.05,Basic
Nasdaq 100,True ,True,9.18,5.18,32.1,-1.28,39.58,Basic
Global Clean Energie,True,True,2.29,-16.46,20.21,-8.97,43.65,Clean
S & P 500 Information Technology Sector,True,False,6.4,13.37,38.31,-0.64,49.74,IT
Healthcare Innovation,True,False,10.3,3.5,35.03,-2.29,12.69,Health
MSCI EM,True,True,-15.34,10.52,36.47,-15.09,17.47,EM
Msci World Consumer Staples,True,True,6.12,1.35,17.37,-10.60,23.3,Consume
S & P 500 Industrial Sector,True,False,5.2,-6.1,4.3,-13.58,28.60,Industry
S & P 500 Financials Sector,True,False,-4.6,35.62,8.27,3.42,-12.32,Finance
Johnson & Johnson,False,True,-1.77,12.16,21.27,-7.64,13.03,Health
United Health Group,False,True,16.37,36.04,37.75,13.0,18.01,Health
DaVita,False,False,-7.96,-7.9,12.54,-28.78,45.8,Health
Novartis,False,True, -7.14,-15.34,15.27,2.2,10.35,Health
Abbvie,False,True,-9.47,5.71,54.44,-4.67,-3.96,Health
Thermo Fisher Scientific,False,True,13.22,-0.53,34.57,17.86,45.17,Health
Intuitive Surgical,False,False,3.26,16.11,72.64,32.23,23.43,Health
Merck,False,True,-6.99,11.45,-4.42,35.79,16.03,Health
Alibaba,False,False,-21.81,8.05,96.37,-20.51,54.74,EM
JD,False,True,39.43,-21.15,62.81,-49.48,68.32,EM
Netease,False,True,82.81,18.81,60.24,-31.79,30.28,EM
Tencent,False,True,35.55,24.39,214.02,-22.66,19.43,EM
Infosys,False,True,6.48,-11.46,9.37,17.39,8.4,EM
Arcos Dorados,False,True,-42.51,73.63,91.67,-23.67,2.53,EM
Taiwan Semiconductor Manufacturing,False,True,1.65,26.37,37.91,-6.91,57.41,EM
PT Telekomunikasi Indonesia,False,True,-1.84,31.35,10.49,-18.65,8.74,EM
Unilever,False,True,10.96,-5.22,37.17,-4.47,6.8,Consume
Procter & Gamble,False,True,-12.82,5.88,9.28,0.04,35.88,Consume
Coca Cola,False,True,1.75,-3.49,10.66,3.2,16.90,Consume
PepsiCo,False,True,5.67,4.71,14.61,-7.87,23.71,Consume
Nestle,False,True,-7.95,3.08,30.67,41.01,33.36,Consume
Costco Wholesale,False,True,13.93,-0.86,16.25,9.45,44.28,Consume
Walmart,False,True,-28.62,12.76,42.87,-5.67,27.58,Consume
MCDonalds,False,True,26.08,3.03,41.41,3.17,11.29,Consume
SolarEdge Technologies,False,False,0,-55.98,202.82,-6.52,170.91,Clean
Plug Power,False,False,-29.67,-43.13,96.67,-47.46,154.84,Clean
First Solar,False,False,47.98,-51.37,110.41,-37.12,31.81,Clean
Enphase Energy,False,False,-75.44,-71.23,138.61,96.27,452.43,Clean
Brookfield Renewable Partners,False,True,-15.36,13.45,17.54,-25.81,80.04,Clean
Next Era Energy,False,True,-2.26,14.99,30.75,11.29,39.32,Clean
Canadian Solar,False,False,19.72,-57.94,38.42,-14.95,54.11,Clean
Vestas Wind Systems,False,True,25.34,-4.53,-7.17,14.76,36.8,Clean
Union Pacific,False,True,-34.36,32.58,29.34,3.08,30.79,Industry
3M,False,True,-8.33,18.54,31.81,-19.05,-7.41,Industry
Caterpillar,False,True,-25.75,36.46,69.92,-19.36,16.22,Industry
HD Supply,False,False,1.83,41.56,-5.83,-6.27,7.2,Industry
Waste Management,False,True,3.99,32.86,21.70,3.12,28.06,Industry
Raytheon Technologies,False,True,-16.46,14.1,16.37,-16.53,40.65,Industry
Jacobs Engineering,False,True,-6.13,35.88,15.72,-11.37,53.66,Industry
FedEx,False,True,-14.21,24.97,34.02,-35.35,-6.27,Industry
Berkshire Hathaway,False,False,-12.06,23.43,21.62,3.01,10.93,Finance
Blackrock,False,True,-4.77,11.75,35.0,-23.53,27.97,Finance
JPMorgan Chase,False,True,5.51,30.68,23.93,-8.72,42.8,Finance
Bank of America,False,True,-5.93,31.31,33.57,-16.53,42.94,Finance
Goldman Sachs,False,True,-7.02,32.86,6.39,-34.43,37.64,Finance
American Express,False,True,-25.25,6.51,34.06,-4.02,30.6,Finance
Progressive,False,True,17.82,11.64,58.65,7.12,19.99,Finance
Allstate,False,True,-11.62,19.38,41.27,-21.09,36.09,Finance
Apple,False,True,-4.64,10.03,46.11,-6.79,86.16,IT
Microsoft,False,True,19.44,12.0,37.66,18.74,55.26,IT
Facebook,False,False,34.15,9.93,53.38,-25.71,56.57,IT
Alphabet,False,False,46.61,1.86,32.93,-0.8,28.18,IT
Nvidia,False,True,64.39,223.85,81.28,-31.01,76.25,IT
Paypal,False,False,0.00,9.03,86.52,14.22,28.64,IT
Advanced Micro Devices,False,False,7.49,295.12,-9.35,79.57,148.43,IT
Cisco,False,True,-2.37,11.29,26.74,13.13,10.69,IT
